Index	p_value	Fold_Change	type	-Log10P	Log2FC
Q8BTS4	0.444019313	0.975470792	Insignificant	0.35259814	-0.035829419
Q8BTV2	0.51929271	1.082634965	Insignificant	0.284587774	0.114546887
Q8BTW3	0.774319435	0.859364522	Insignificant	0.11107984	-0.218657877
Q8BTY1	0.621314775	1.07402333	Insignificant	0.206688318	0.103025331
Q8BTY2	0.51133368	0.463624832	Insignificant	0.2912956	-1.108970255
Q8BTY8	0.169195739	0.657483826	Insignificant	0.771610578	-0.60497269
Q8BTZ7	0.560489956	0.877114225	Insignificant	0.251432166	-0.18916336
Q8BU11	0.497437695	0.195446533	Insignificant	0.303261308	-2.355154102
Q8BU14	0.883864796	0.988991706	Insignificant	0.053614164	-0.015969673
Q8BU30	0.003234537	0.857388964	Insignificant	2.490187828	-0.221978247
Q8BU31	0.753180768	0.853809836	Insignificant	0.123100778	-0.228013312
Q8BU33	0.274704274	0.594832415	Insignificant	0.561134583	-0.749444827
Q8BU88	0.411297559	0.950863561	Insignificant	0.385843868	-0.07268975
Q8BUB4	0.544966961	7.670946461	Insignificant	0.263629826	2.939404592
Q8BUE4	0.234760294	0.844358332	Insignificant	0.629375356	-0.24407271
Q8BUK6	0.395056434	0.799740769	Insignificant	0.403340861	-0.322395659
Q8BUV3	0.506687552	1.217428854	Insignificant	0.295259765	0.283837464
Q8BUY5	0.496978981	1.480560781	Insignificant	0.303661979	0.566143718
Q8BUY9	0.991440441	0.958999408	Insignificant	0.00373337	-0.060398171
Q8BV49	0.532730512	0.377444658	Insignificant	0.273492429	-1.405662968
Q8BV79	0.546843268	1.872245613	Insignificant	0.26213713	0.904769709
Q8BVA5	0.743610623	0.814872061	Insignificant	0.128654415	-0.295354529
Q8BVE3	0.017681259	0.613207529	Down	1.752486804	-0.705552684
Q8BVF2	0.423245187	0.663968185	Insignificant	0.373407972	-0.59081398
Q8BVG4	0.677864255	1.169191159	Insignificant	0.168857266	0.225510825
Q8BVI4	0.000210445	1.124359119	Insignificant	3.676861742	0.169102904
Q8BVI5	0.890477106	1.219519513	Insignificant	0.050377242	0.286312842
Q8BVP5;Q8C4X2	0.606271576	0.715655226	Insignificant	0.217332792	-0.482663373
Q8BVQ5	0.507824571	1.101911094	Insignificant	0.29428629	0.140007827
Q8BVU5	0.391114091	1.630039498	Insignificant	0.407696537	0.704906923
Q8BVW0	0.309781283	0.329825065	Insignificant	0.508944826	-1.600227055
Q8BVW3	0.665953096	0.958995382	Insignificant	0.176556358	-0.060404227
Q8BVY0	0.634235847	0.938171759	Insignificant	0.197749215	-0.092076021
Q8BVZ1	0.666767356	0.842999179	Insignificant	0.176025671	-0.246396869
Q8BW75	0.097106365	1.010149649	Insignificant	1.012752301	0.014569038
Q8BWF0	0.343169454	1.107551409	Insignificant	0.464491376	0.147373666
Q8BWG8	0.446697612	0.923220748	Insignificant	0.349986369	-0.115252449
Q8BWJ3	0.383647639	1.12692617	Insignificant	0.41606747	0.172393001
Q8BWL5;Q91W59	0.773736366	0.829657644	Insignificant	0.111406991	-0.26941196
Q8BWM0	0.110835784	1.052523366	Insignificant	0.955320002	0.073852261
Q8BWN8	0.107775667	0.831648508	Insignificant	0.967479283	-0.265954186
Q8BWP5	0.169195739	0.862822007	Insignificant	0.771610578	-0.212865121
Q8BWP8	0.996729601	0.98386959	Insignificant	0.001422644	-0.023460992
Q8BWQ1	0.116850369	1.172552654	Insignificant	0.932369911	0.229652709
Q8BWQ6	0.632467369	1.157356587	Insignificant	0.198961876	0.210833434
Q8BWR2	0.795265984	1.442946121	Insignificant	0.099487593	0.529017431
Q8BWR8	0.425356581	0.276605805	Insignificant	0.371246843	-1.854096661
Q8BWT1	0.259426368	1.266086633	Insignificant	0.585985884	0.340376126
Q8BWU5	0.809292908	0.867166249	Insignificant	0.091894265	-0.205619489
Q8BWU8	0.278689532	0.936505222	Insignificant	0.554879343	-0.094641056
Q8BWW4	0.866141026	0.827063359	Insignificant	0.06241139	-0.27393024
Q8BWY3	0.549341218	0.889955905	Insignificant	0.260157814	-0.168194239
Q8BWZ3	0.92839519	0.982379441	Insignificant	0.032267118	-0.025647726
Q8BX02	0.705601461	0.707173555	Insignificant	0.151440528	-0.499863769
Q8BX09	0.938279585	0.778759514	Insignificant	0.027667733	-0.360750211
Q8BX10	0.552295031	0.85944902	Insignificant	0.257828864	-0.218516029
Q8BX70	0.849484433	0.920915774	Insignificant	0.070844575	-0.118858879
Q8BX90	0.788957467	0.849789671	Insignificant	0.102946409	-0.234822287
Q8BXA1	0.811011844	1.264082353	Insignificant	0.090972803	0.338090456
Q8BXA5	0.891531032	0.843237992	Insignificant	0.049863536	-0.245988226
Q8BXB6	0.647886372	1.441317989	Insignificant	0.188501155	0.527388664
Q8BXC6	0.337471931	0.680686214	Insignificant	0.471762343	-0.554938203
Q8BXN7	0.585329293	1.059509747	Insignificant	0.232599741	0.08339686
Q8BXQ2	0.681843785	0.541890594	Insignificant	0.166315114	-0.883926489
Q8BXV2	0.539127123	0.676580758	Insignificant	0.268308819	-0.563665947
Q8BXZ1	0.683153668	0.938503771	Insignificant	0.165481596	-0.091565553
Q8BY87	0.511310453	0.891112371	Insignificant	0.291315328	-0.166320724
Q8BYA0	0.179778231	0.144339459	Insignificant	0.745262898	-2.792462342
Q8BYB9	0.760867841	0.838116899	Insignificant	0.118690771	-0.254776613
Q8BYC6	0.791141498	0.946536181	Insignificant	0.101745835	-0.079270442
Q8BYH7	0.604212144	1.422713564	Insignificant	0.21881055	0.508645232
Q8BYI6	0.216181179	0.403973987	Insignificant	0.665182119	-1.307665698
Q8BYK6	0.823888155	0.835230515	Insignificant	0.084131741	-0.259753673
Q8BYL4	0.603538665	0.928031017	Insignificant	0.219294902	-0.10775507
Q8BYM8	0.829374944	1.084005792	Insignificant	0.081249089	0.116372465
Q8BYU6	0.578303909	0.841036117	Insignificant	0.237843872	-0.249760338
Q8BYW1	0.140301866	0.201387381	Insignificant	0.852936553	-2.311954806
Q8BYY4	0.986444896	0.969137207	Insignificant	0.00592717	-0.045227164
Q8BYZ1	0.712717063	0.186661252	Insignificant	0.147082844	-2.421505617
Q8BYZ7	0.954157707	1.094578466	Insignificant	0.020379837	0.13037538
Q8BZ09	0.706484076	1.178830726	Insignificant	0.150897622	0.237356569
Q8BZ20	0.580912184	0.752749648	Insignificant	0.235889514	-0.409757967
Q8BZ36	0.479581119	0.414010679	Insignificant	0.319137923	-1.272260113
Q8BZ98	0.635408466	0.32780214	Insignificant	0.196947003	-1.609102823
Q8BZA9	0.808195928	0.873317661	Insignificant	0.092483342	-0.195421579
Q8BZW8	0.29995168	0.621168677	Insignificant	0.522948702	-0.686943013
Q8C025	0.465619543	1.260693124	Insignificant	0.3319688	0.334217139
Q8C052	0.29254232	0.700064198	Insignificant	0.533811299	-0.514440868
Q8C0C7	0.426874764	0.96168206	Insignificant	0.369699519	-0.056368089
Q8C0D5	0.774945874	0.818794109	Insignificant	0.11072863	-0.288427372
Q8C0E2	0.10036913	0.955233802	Insignificant	0.998399842	-0.066074206
Q8C0I1	0.766921061	0.995051855	Insignificant	0.115249336	-0.007156384
Q8C0J2	0.332486142	2.322858641	Insignificant	0.478226451	1.215901361
Q8C0J6	0.878883145	0.427329014	Insignificant	0.056068864	-1.226580822
Q8C0K5	0.700143672	0.99130973	Insignificant	0.154812832	-0.012592204
Q8C0L0	0.087631095	0.672521478	Insignificant	1.057341763	-0.572347751
Q8C0L8	0.582732956	0.689970837	Insignificant	0.23453042	-0.535392709
Q8C0L9	0.910843119	1.158838541	Insignificant	0.040556418	0.212679572
Q8C0M9	0.585111098	0.839172286	Insignificant	0.232761664	-0.252961062
Q8C0N2	0.02331319	0.533135983	Down	1.632398305	-0.907424536
Q8C0Q2	0.643981301	1.042873696	Insignificant	0.191126743	0.060564441
Q8C0Z1	0.615342385	1.182137647	Insignificant	0.21088317	0.241398031
Q8C129	0.40176024	0.672491339	Insignificant	0.396033045	-0.572412408
Q8C142	0.445650369	1.084587628	Insignificant	0.351005729	0.117146619
Q8C163	0.910843119	0.891971262	Insignificant	0.040556418	-0.164930865
Q8C165	0.166503076	1.048424224	Insignificant	0.778577738	0.068222593
Q8C166	0.439395311	0.869274544	Insignificant	0.357144582	-0.202116198
Q8C167	0.876507117	2.629067462	Insignificant	0.057244553	1.394551162
Q8C196	0.001702885	1.189470772	Insignificant	2.768814731	0.250319822
Q8C1A5	0.574548907	0.908741623	Insignificant	0.240672998	-0.138057936
Q8C1B7	0.102937301	0.608843685	Insignificant	0.987427222	-0.715856218
Q8C1E7	0.156425159	0.762919278	Insignificant	0.805693394	-0.390397677
Q8C1Y8	0.494266257	0.969669354	Insignificant	0.306039037	-0.044435207
Q8C2E7	0.778963274	0.820074586	Insignificant	0.108483018	-0.286172965
Q8C2Q3	0.964521508	0.939210187	Insignificant	0.015688084	-0.090480038
Q8C3J5	0.280565586	0.228012716	Insignificant	0.551965601	-2.132813811
Q8C3Q9	0.759112171	1.527742748	Insignificant	0.119694045	0.611401633
Q8C3X2	0.827782523	0.876225928	Insignificant	0.082083747	-0.190625189
Q8C3X4	0.350598658	0.851365836	Insignificant	0.45518975	-0.232148897
Q8C3X8	0.847943961	0.840962138	Insignificant	0.071632849	-0.249887247
Q8C407	0.362262302	0.469242548	Insignificant	0.440976858	-1.091594262
Q8C460	0.783896708	2.447337089	Insignificant	0.105741159	1.291212828
Q8C4B4;Q9Z2R6	0.262827383	0.86316196	Insignificant	0.580329389	-0.212296809
Q8C4Y3	0.743704366	0.797268295	Insignificant	0.128599669	-0.326862796
Q8C522	0.533389604	0.909509935	Insignificant	0.272955453	-0.136838698
Q8C570	0.796135361	0.814980411	Insignificant	0.099013086	-0.295162711
Q8C5H8	0.090002429	1.159076743	Insignificant	1.045745768	0.212976091
Q8C5N3	0.892252068	0.969258005	Insignificant	0.049512437	-0.045047349
Q8C5Q4	0.951526899	0.942442547	Insignificant	0.02157893	-0.085523424
Q8C5W0	0.821541326	0.899863517	Insignificant	0.085370585	-0.152221892
Q8C5W3	0.275591411	0.774983416	Insignificant	0.559734321	-0.367762656
Q8C650	0.890171577	1.039463449	Insignificant	0.050526277	0.055839029
Q8C6G8	0.238215344	0.520777763	Insignificant	0.623030269	-0.941260248
Q8C6I2	0.203684364	1.577671042	Insignificant	0.691042308	0.657796422
Q8C729	0.941674773	0.748324002	Insignificant	0.026099064	-0.418265046
Q8C754	0.672000006	0.989563224	Insignificant	0.172630723	-0.015136209
Q8C7E7	0.185748927	0.655250525	Insignificant	0.731073687	-0.609881491
Q8C7G5	0.279076983	0.90871009	Insignificant	0.55427598	-0.138107996
Q8C7H1	0.977023961	0.969676096	Insignificant	0.010094785	-0.044425176
Q8C7R4	0.65847039	0.865296224	Insignificant	0.181463749	-0.208733988
Q8C7V3	0.397750299	0.570692246	Insignificant	0.400389485	-0.809215133
Q8C7X2	0.37419945	1.142634485	Insignificant	0.426896855	0.192363976
Q8C854	0.7851909	1.042707799	Insignificant	0.105024742	0.060334925
Q8C863	0.315034408	0.7340306	Insignificant	0.50164201	-0.446087888
Q8C878	0.346580366	0.788736913	Insignificant	0.460196044	-0.342383932
Q8C8T8	0.944991408	1.358283063	Insignificant	0.02457214	0.441784165
Q8C8U0	0.236985348	0.814445306	Insignificant	0.625278504	-0.296110276
Q8CAK1	0.917469456	1.071737143	Insignificant	0.037408385	0.09995111
Q8CAK3	0.573975862	0.75111371	Insignificant	0.241106371	-0.412896763
Q8CAQ8	0.11517272	1.191460421	Insignificant	0.938650376	0.252731028
Q8CAS9	0.279076983	0.786661575	Insignificant	0.55427598	-0.346184979
Q8CAY6	0.337471931	0.953807124	Insignificant	0.471762343	-0.068230536
Q8CBA2	0.310492636	0.096009777	Insignificant	0.507948696	-3.380674858
Q8CBE3	0.38156081	0.494938347	Insignificant	0.418436238	-1.01467927
Q8CBQ5	0.639152933	0.390981945	Insignificant	0.194395214	-1.354826106
Q8CBW3	0.334415211	0.308854249	Insignificant	0.475713976	-1.695001918
Q8CBY0	0.544966961	2.165680033	Insignificant	0.263629826	1.114820109
Q8CBY8	0.723237988	0.840385173	Insignificant	0.14071877	-0.250877387
Q8CC86	0.400525661	1.293950494	Insignificant	0.397369654	0.371782422
Q8CC88	0.304909787	0.93117712	Insignificant	0.515828635	-0.102872485
Q8CCB4	0.582459963	1.062949722	Insignificant	0.234733922	0.088073359
Q8CCF0	0.632438656	0.652685104	Insignificant	0.198981593	-0.615540982
Q8CCH2	0.372943733	0.909517563	Insignificant	0.428356687	-0.136826598
Q8CCJ3	0.760867841	0.928549199	Insignificant	0.118690771	-0.106949743
Q8CCK0	0.512122081	1.523373099	Insignificant	0.290626498	0.607269324
Q8CCM6	0.416884826	0.702780001	Insignificant	0.379983913	-0.508854959
Q8CCN5	0.959106573	0.887669346	Insignificant	0.018133133	-0.171905718
Q8CCP0	0.469365596	1.407010078	Insignificant	0.328488747	0.492632662
Q8CCS6	0.878708702	1.047526828	Insignificant	0.056155073	0.066987193
Q8CD10	0.950187442	0.904390343	Insignificant	0.022190714	-0.144982507
Q8CDA1	0.706349068	0.73269441	Insignificant	0.150980623	-0.448716485
Q8CDG3	0.547755237	1.080170936	Insignificant	0.261413462	0.111259635
Q8CDM8	0.716244357	0.759113511	Insignificant	0.144938786	-0.397612465
Q8CDN6	0.802786858	0.914617713	Insignificant	0.095399746	-0.128759235
Q8CE96	0.770737454	0.433850998	Insignificant	0.113093536	-1.204728445
Q8CEC0	0.829374944	0.780765957	Insignificant	0.081249089	-0.357037945
Q8CEC6	0.690364646	0.656701394	Insignificant	0.160921457	-0.606690578
Q8CEE7	0.407589525	0.604574512	Insignificant	0.389776985	-0.726007936
Q8CEI1	0.099161559	0.454930044	Insignificant	1.003656654	-1.13628338
Q8CES0	0.545104835	0.566285895	Insignificant	0.263519965	-0.8203975
Q8CF66	0.293907578	0.591815649	Insignificant	0.531789216	-0.75678025
Q8CFA2	0.383796225	0.962228519	Insignificant	0.415899302	-0.055548536
Q8CFE4	0.452872056	1.004507114	Insignificant	0.344024476	0.006487781
Q8CFH6	0.459151866	1.048324231	Insignificant	0.338043646	0.06808499
Q8CFI2	0.954932487	1.212450996	Insignificant	0.020027332	0.277926438
Q8CFI5	0.435740394	1.100017028	Insignificant	0.360772178	0.137525857
Q8CFI7	0.679075993	0.746658505	Insignificant	0.168081623	-0.421479538
Q8CFJ7	0.311107521	1.447003372	Insignificant	0.507089489	0.533068284
Q8CFV9	0.719586639	0.901152803	Insignificant	0.142916909	-0.15015634
Q8CFX1	0.037122284	0.91193875	Insignificant	1.430365314	-0.132991165
Q8CG14	0.662269069	1.029533888	Insignificant	0.178965528	0.041991319
Q8CG50	0.334415211	1.554033166	Insignificant	0.475713976	0.636017294
Q8CG72	0.395447141	0.684763607	Insignificant	0.40291156	-0.546322066
Q8CG76	0.402910778	1.037681545	Insignificant	0.394791115	0.053363761
Q8CGA0	0.245925696	0.751975516	Insignificant	0.60919609	-0.411242406
Q8CGB6	0.359421656	0.593899541	Insignificant	0.444395759	-0.751709177
Q8CGC7	0.475093255	1.021406462	Insignificant	0.323221135	0.030557092
Q8CGF5	0.376235579	0.838504442	Insignificant	0.424540138	-0.254109669
Q8CGF7	0.205900581	0.794867778	Insignificant	0.686342428	-0.3312132
Q8CGK3	0.67108217	1.077399695	Insignificant	0.1732243	0.107553562
Q8CGR7	0.977886645	1.015536489	Insignificant	0.009711485	0.022242077
Q8CGY8	0.560489956	0.944543102	Insignificant	0.251432166	-0.082311463
Q8CGZ0	0.758133752	0.983524788	Insignificant	0.120254168	-0.023966681
Q8CH09	0.299412628	4.60246936	Insignificant	0.523729886	2.202408117
Q8CH18	0.055662932	0.621121355	Insignificant	1.254433919	-0.687052924
Q8CH25	0.747911558	0.723090559	Insignificant	0.126149755	-0.467751756
Q8CH40	0.69933341	1.035102152	Insignificant	0.155315723	0.049773152
Q8CHC4	0.465076205	0.505857605	Insignificant	0.33247588	-0.983196761
Q8CHG3	0.539965718	1.378328042	Insignificant	0.267633812	0.46291929
Q8CHG7	0.735379089	0	Insignificant	0.133488724	#NAME?
Q8CHH9	0.780507945	1.084141018	Insignificant	0.107622672	0.116552426
Q8CHK3	0.420012589	0.622875999	Insignificant	0.376737692	-0.682983113
Q8CHP8	0.544966961	1.215858126	Insignificant	0.263629826	0.281974895
Q8CHQ9	0.479581119	0.861901538	Insignificant	0.319137923	-0.214405028
Q8CHR6	0.00979594	1.221583593	Up	2.008953882	0.288752591
Q8CHS8	0.373432792	0.448649135	Insignificant	0.427787548	-1.156340465
Q8CHT0	0.025520812	1.072892003	Insignificant	1.593105512	0.101504862
Q8CHT1	0.521240476	2.165693372	Insignificant	0.282961868	1.114828995
Q8CHT3	0.977666334	0.866781727	Insignificant	0.00980934	-0.206259356
Q8CHW4	0.999060613	0.995433941	Insignificant	0.000408162	-0.006602516
Q8CHY3	0.783896708	1.266661133	Insignificant	0.105741159	0.341030615
Q8CI11	0.426874764	0.239347012	Insignificant	0.369699519	-2.062824298
Q8CI32	0.845315958	0.867946097	Insignificant	0.072980932	-0.204322646
Q8CI33	0.687619191	1.255039174	Insignificant	0.162652011	0.327732396
Q8CI51	0.472896047	0.757925769	Insignificant	0.325234316	-0.399871536
Q8CI59	0.416884826	0.658990468	Insignificant	0.379983913	-0.601670497
Q8CI75	0.820813875	0.935080102	Insignificant	0.085755311	-0.096838138
Q8CI78	0.435740394	0.780999288	Insignificant	0.360772178	-0.356606862
Q8CI94	0.388963609	0.607372038	Insignificant	0.410091029	-0.719347604
Q8CI95	0.839289478	0.842119738	Insignificant	0.076088221	-0.247902716
Q8CIB5	0.399575832	0.951353748	Insignificant	0.398400787	-0.071946207
Q8CIE6	0.187596938	0.887271395	Insignificant	0.726774256	-0.172552637
Q8CIF4	0.947092148	1.043674753	Insignificant	0.023607764	0.061672186
Q8CIF6	0.31485172	0.606766788	Insignificant	0.50189393	-0.720785974
Q8CIG8	0.28300792	0.741848093	Insignificant	0.54820141	-0.430804296
