Index	p_value	Fold_Change	type	-Log10P	Log2FC	
Q8VDP6	0.545755573	0.770594558	Insignificant	0.263001821	-0.375956098	
Q8BM72	0.256887825	0.771134399	Insignificant	0.590256478	-0.374945769	
Q9R190	0.508108294	0.771163536	Insignificant	0.294043716	-0.37489126	
P99026	0.302765685	0.771610526	Insignificant	0.518893348	-0.374055271	
F6ZDS4	0.305089599	0.771613084	Insignificant	0.515572598	-0.374050487	
Q5SUR0	0.542720099	0.772165236	Insignificant	0.265424094	-0.373018492	
Q9D1B9	0.733167855	0.772188074	Insignificant	0.134796585	-0.372975821	
Q80UJ7	0.753482053	0.77263442	Insignificant	0.122927087	-0.372142145	
O35382	0.853100553	0.77281405	Insignificant	0.068999776	-0.371806772	
Q9D287	0.85062746	0.77293831	Insignificant	0.070260601	-0.371574822	
Q8BMJ3	0.47451064	0.773214373	Insignificant	0.323754045	-0.37105964	
Q7TNV0	0.594834502	0.7732232	Insignificant	0.225603849	-0.37104317	
Q9D0Y8	0.669211731	0.773594732	Insignificant	0.174436455	-0.370350124	
A2AKK5	0.266000494	0.774182598	Insignificant	0.575117557	-0.369254215	
P61166	0.822957698	0.77452771	Insignificant	0.084622488	-0.36861124	
Q8K0L9	0.702064969	0.775645475	Insignificant	0.153622697	-0.366530706	
Q9CZJ2	0.868219815	0.77579434	Insignificant	0.061370307	-0.366253844	
P21958	0.293127584	0.775985636	Insignificant	0.532943311	-0.365898148	
P80315	0.152144835	0.776180456	Insignificant	0.817742788	-0.365535988	
P09103	0.026439629	0.776191992	Down	1.577744642	-0.365514545	
Q80WQ2	0.745473284	0.776432844	Insignificant	0.127567916	-0.365066947	
Q63844	0.549729606	0.776705325	Insignificant	0.259850874	-0.364560739	
Q8BHC4	0.447695254	0.776755256	Insignificant	0.349017509	-0.364467996	
P21126	0.775548236	0.776832866	Insignificant	0.110391186	-0.364323856	
Q8BG73	0.770866161	0.776942443	Insignificant	0.113021018	-0.364120369	
O08579	0.367715683	0.777000092	Insignificant	0.434487847	-0.364013326	
Q9CZR8	0.304904263	0.777238199	Insignificant	0.515836504	-0.363571288	
P51660	0.045503103	0.777549366	Down	1.341958986	-0.362993822	
Q9D517	0.471226655	0.777564785	Insignificant	0.326770152	-0.362965212	
O08582	0.805307684	0.777994887	Insignificant	0.094038157	-0.362167421	
Q9CSU0	0.593890024	0.777995339	Insignificant	0.22629397	-0.362166584	
Q9WUK4	0.567637272	0.778022695	Insignificant	0.245929096	-0.362115855	
Q8BG05	0.416980162	0.778175352	Insignificant	0.379884606	-0.36183281	
O89110	0.329204876	0.778392762	Insignificant	0.482533741	-0.361429799	
P49182	0.255289972	0.778573329	Insignificant	0.592966244	-0.361095171	
Q5PT54	0.896344544	0.778609499	Insignificant	0.047525021	-0.361028149	
P27808	0.711973674	0.779144218	Insignificant	0.147536065	-0.360037701	
P46412	0.760812291	0.779310618	Insignificant	0.11872248	-0.359729622	
P50518	0.534464656	0.779442001	Insignificant	0.272081009	-0.35948642	
Q62193	0.787971612	0.779730281	Insignificant	0.103489429	-0.358952931	
Q64737	0.292228962	0.77976517	Insignificant	0.534276745	-0.35888838	
Q921T2	0.600444304	0.779927411	Insignificant	0.22152727	-0.358588238	
P53994	0.391200071	0.780022623	Insignificant	0.407601075	-0.358412129	
P70274	0.554729175	0.780053798	Insignificant	0.255918992	-0.358354468	
Q9CY16	0.173802916	0.780128138	Insignificant	0.75994294	-0.358216984	
Q8BGW1	0.714487167	0.780137463	Insignificant	0.146005567	-0.358199741	
P29391	0.377198853	0.780205575	Insignificant	0.423429636	-0.358073788	
Q08879	0.464006459	0.780267353	Insignificant	0.333475974	-0.357959557	
Q9QYJ0	0.292228962	0.780549063	Insignificant	0.534276745	-0.357438775	
Q8CII2	0.894809365	0.780566953	Insignificant	0.048269479	-0.35740571	
P97470	0.497540224	0.78068809	Insignificant	0.303171803	-0.357181834	
Q9JLV6	0.523272845	0.780711352	Insignificant	0.281271802	-0.357138848	
Q9D4H1	0.830949906	0.780929116	Insignificant	0.080425157	-0.356736493	
P61087	0.353023121	0.780978996	Insignificant	0.45219685	-0.356644347	
O70435	0.447695254	0.781196703	Insignificant	0.349017509	-0.356242234	
Q8K297	0.392873408	0.781327987	Insignificant	0.405747365	-0.355999802	
P63001	0.149513354	0.78176369	Insignificant	0.825320015	-0.355195516	
P63101	0.285926903	0.782076599	Insignificant	0.54374498	-0.354618178	
Q6PDL0	0.149513354	0.782166884	Insignificant	0.825320015	-0.354451639	
Q3TDD9	0.507569898	0.782492866	Insignificant	0.294504142	-0.353850496	
Q8R4Y4	0.773405291	0.782726614	Insignificant	0.111592861	-0.353419596	
Q60674	0.814929805	0.78274243	Insignificant	0.088879798	-0.353390445	
P08113	0.021976953	0.782759357	Down	1.65803252	-0.353359245	
P35279	0.530856124	0.783334707	Insignificant	0.275023168	-0.352299215	
P48193	0.447695254	0.783381966	Insignificant	0.349017509	-0.352212178	
Q3TWW8	0.413064837	0.783645974	Insignificant	0.383981773	-0.351726057	
P62748	0.2262886	0.783716382	Insignificant	0.645337325	-0.351596441	
Q8CAS9	0.266000494	0.783847607	Insignificant	0.575117557	-0.351354897	
P10639	0.405014985	0.78384963	Insignificant	0.392528909	-0.351351173	
O08705	0.861560679	0.784406788	Insignificant	0.06471413	-0.350326074	
P54116	0.51654312	0.78445311	Insignificant	0.286893419	-0.350240881	
Q61781	0.593130441	0.784491759	Insignificant	0.226849787	-0.350169803	
Q9D2N9	0.815781808	0.784574204	Insignificant	0.088425984	-0.350018193	
P62827	0.485103629	0.784698835	Insignificant	0.314165477	-0.349789036	
Q9JMG1	0.78050413	0.78472014	Insignificant	0.107624794	-0.349749868	
Q9Z0R9	0.559799596	0.784832464	Insignificant	0.251967419	-0.349543375	
P08775	0.570281234	0.7851433	Insignificant	0.243910919	-0.348972104	
Q9D8T2	0.302765685	0.785370032	Insignificant	0.518893348	-0.348555545	
Q9JIG7	0.396225315	0.785486314	Insignificant	0.402057781	-0.348341956	
P97449	0.055953625	0.785708921	Insignificant	1.252171768	-0.347933154	
P58021	0.726608982	0.785941307	Insignificant	0.138699238	-0.347506517	
Q61191	0.566104153	0.785959435	Insignificant	0.247103659	-0.347473241	
Q9CQV4	0.594896878	0.786356322	Insignificant	0.22555831	-0.346744906	
Q4PJX1	0.321996813	0.786466591	Insignificant	0.492148427	-0.346542613	
Q9CQB5	0.508795213	0.786629585	Insignificant	0.293456984	-0.346243647	
Q9CWK3	0.324147455	0.786647452	Insignificant	0.489257384	-0.34621088	
Q9JIX0	0.523924689	0.786652401	Insignificant	0.280731136	-0.346201804	
Q8BPE4	0.792608211	0.787063578	Insignificant	0.100941433	-0.345447916	
Q99N50	0.619031588	0.787145774	Insignificant	0.208287189	-0.345297257	
Q8BGC0	0.688336363	0.787175737	Insignificant	0.162199287	-0.345242341	
O88939	0.805307684	0.787342842	Insignificant	0.094038157	-0.344936112	
Q9CQ92	0.543268296	0.787586789	Insignificant	0.264985639	-0.344489183	
Q9JK92	0.72467754	0.787698276	Insignificant	0.139855199	-0.344284977	
P30416	0.33527779	0.787808761	Insignificant	0.474595215	-0.344082633	
Q8VCG4	0.372682908	0.787826946	Insignificant	0.428660524	-0.344049332	
Q8C754	0.813352464	0.787922411	Insignificant	0.089721213	-0.343874524	
Q9DBM2	0.106587784	0.78808472	Insignificant	0.972292566	-0.343577365	
Q6ZWM4	0.669569794	0.788235018	Insignificant	0.174204147	-0.343302251	
Q8BG94	0.648444678	0.788404543	Insignificant	0.18812707	-0.342992006	
Q9JM76	0.33224253	0.788847095	Insignificant	0.478544775	-0.34218241	
Q9R0Q7	0.472842496	0.788965873	Insignificant	0.325283499	-0.341965198	
Q78HU7	0.501536949	0.789011298	Insignificant	0.299697067	-0.341882137	
Q05117	0.661621143	0.789014349	Insignificant	0.179390625	-0.341876558	
Q9Z1D1	0.536505879	0.789239925	Insignificant	0.270425515	-0.341464157	
O88271	0.802321921	0.789830581	Insignificant	0.095651342	-0.340384867	
Q8CGA0	0.59702093	0.790101454	Insignificant	0.224010444	-0.339890179	
Q8CCM6	0.728429563	0.790176884	Insignificant	0.137612437	-0.339752452	
Q9WVR4	0.742320048	0.790206543	Insignificant	0.12940881	-0.339698303	
Q99J77	0.534886946	0.790219224	Insignificant	0.271738001	-0.339675151	
P02535	0.594383841	0.790285304	Insignificant	0.225933006	-0.339554514	
Q8VCM5	0.716774655	0.790385734	Insignificant	0.14461736	-0.339371187	
P42208	0.295480778	0.790448531	Insignificant	0.529470767	-0.339256569	
Q8C1E7	0.347041693	0.79060842	Insignificant	0.459618347	-0.338964774	
Q62095	0.605538671	0.790742229	Insignificant	0.217858117	-0.338720622	
Q9CYI0	0.807901161	0.790855502	Insignificant	0.092641768	-0.338513972	
Q9DBA6	0.380518308	0.790878268	Insignificant	0.419624443	-0.338472443	
Q91WG4	0.896344544	0.79088626	Insignificant	0.047525021	-0.338457865	
Q9CZN8	0.934132918	0.790936743	Insignificant	0.029591323	-0.338365779	
Q9D0M5	0.879027806	0.790961983	Insignificant	0.055997387	-0.33831974	
P28650	0.716774655	0.791100968	Insignificant	0.14461736	-0.338066259	
Q920B9	0.256307348	0.791175319	Insignificant	0.591238942	-0.337930674	
Q9R1C7	0.512797053	0.791260771	Insignificant	0.29005448	-0.337774862	
Q78IQ7	0.879101217	0.791297276	Insignificant	0.055961119	-0.337708304	
P18524;P18526	0.854304519	0.791579692	Insignificant	0.068387296	-0.337193494	
Q61699	0.451559686	0.791665405	Insignificant	0.345284837	-0.337037286	
Q6P4T2	0.499262972	0.79176997	Insignificant	0.301670642	-0.336846744	
Q9Z1K5	0.861773342	0.791777785	Insignificant	0.064606945	-0.336832505	
Q91VZ6	0.892427481	0.791814787	Insignificant	0.049427065	-0.336765085	
Q61768	0.491341475	0.792240681	Insignificant	0.308616575	-0.33598931	
P63017	0.172710334	0.792553334	Insignificant	0.762681676	-0.335420072	
O35632	0.104645248	0.792599452	Insignificant	0.980280488	-0.335336125	
Q7TMY8	0.613494456	0.792645475	Insignificant	0.212189357	-0.335252356	
O89017	0.23768571	0.792725472	Insignificant	0.623996928	-0.335106761	
P56379	0.158279211	0.792882165	Insignificant	0.800576124	-0.334821621	
Q9CPQ3	0.497762016	0.793246935	Insignificant	0.302978247	-0.334158053	
P62806	0.516644056	0.793421314	Insignificant	0.286808563	-0.333840942	
Q8CHW4	0.694182526	0.793698256	Insignificant	0.158526323	-0.333337459	
Q9DAR7	0.412078766	0.793716077	Insignificant	0.385019764	-0.333305068	
Q9DBT5	0.694109968	0.793880282	Insignificant	0.158571719	-0.333006631	
P58774	0.309680418	0.793918776	Insignificant	0.509086256	-0.332936679	
P09405	0.294069902	0.793935232	Insignificant	0.531549424	-0.332906776	
Q8BH74	0.909050982	0.794154453	Insignificant	0.04141176	-0.332508475	
Q8R1V4	0.587913242	0.794285715	Insignificant	0.230686758	-0.332270038	
P70318	0.539636375	0.794349576	Insignificant	0.267898784	-0.332154048	
A2AWA9	0.438079986	0.794530569	Insignificant	0.358446587	-0.331825368	
Q9Z1M8	0.438312463	0.794568799	Insignificant	0.35821618	-0.331755952	
Q91YR7	0.116763342	0.794655964	Insignificant	0.932693482	-0.331597695	
Q8CGZ0	0.787172119	0.794760474	Insignificant	0.103930297	-0.33140797	
P62259	0.252502703	0.795026757	Insignificant	0.597733968	-0.330924679	
P60766	0.438079986	0.795601436	Insignificant	0.358446587	-0.329882215	
Q8BLF1	0.462293114	0.796189274	Insignificant	0.335082576	-0.328816659	
Q99JF8	0.524968573	0.796726933	Insignificant	0.279866694	-0.327842749	
P24472	0.570281234	0.797137187	Insignificant	0.243910919	-0.327100062	
P49586	0.263268237	0.797153396	Insignificant	0.579601535	-0.327070726	
P80314	0.29782808	0.797182925	Insignificant	0.526034358	-0.327017285	
Q9CQF9	0.092946916	0.797708604	Insignificant	1.031765016	-0.326066256	
Q91ZW3	0.244394102	0.797802342	Insignificant	0.61190928	-0.325896737	
A2AN08	0.259339072	0.798025177	Insignificant	0.586132047	-0.325493832	
Q64282	0.943519692	0.798105044	Insignificant	0.025249031	-0.325349452	
Q2NL51	0.771256487	0.798322311	Insignificant	0.11280117	-0.324956763	
P97372	0.560158665	0.798554951	Insignificant	0.251688942	-0.324536407	
Q60994	0.713815085	0.799121667	Insignificant	0.146414278	-0.323512923	
Q9ES56	0.672192419	0.799573144	Insignificant	0.17250639	-0.322698079	
Q8K2T4	0.937893145	0.799605872	Insignificant	0.027846639	-0.322639029	
E9Q414	0.097287818	0.799630029	Insignificant	1.011941536	-0.322595443	
Q9WVJ2	0.429395801	0.799868826	Insignificant	0.367142207	-0.32216467	
Q60872	0.284940049	0.800245819	Insignificant	0.545246506	-0.32148486	
Q9Z1Z2	0.412453417	0.800524411	Insignificant	0.384625094	-0.320982698	
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2	0.585182839	0.800740894	Insignificant	0.232708419	-0.320592608	
Q810D6	0.900752979	0.800923303	Insignificant	0.045394293	-0.320263999	
P61161	0.380478019	0.801092695	Insignificant	0.419670428	-0.319958907	
Q6PDM2	0.555739026	0.80109972	Insignificant	0.255129104	-0.319946256	
Q3UEB3	0.614698859	0.801292403	Insignificant	0.211337593	-0.319599297	
Q8BHG2	0.827901081	0.801331464	Insignificant	0.08202155	-0.31952897	
P48678	0.447695254	0.801344318	Insignificant	0.349017509	-0.319505828	
Q9DB34	0.654750841	0.801419621	Insignificant	0.183923935	-0.319370264	
Q8BWY3	0.542720099	0.801594611	Insignificant	0.265424094	-0.319055286	
Q64674	0.445693987	0.802351142	Insignificant	0.350963225	-0.317694338	
Q9CY50	0.321986806	0.802360843	Insignificant	0.492161924	-0.317676894	
Q8K4Z5	0.408352289	0.802476964	Insignificant	0.388965006	-0.317468116	
Q9JIM1	0.807342266	0.802501893	Insignificant	0.092942311	-0.317423299	
O54962	0.676905054	0.802596508	Insignificant	0.169472243	-0.317253215	
Q60766	0.552778288	0.802875488	Insignificant	0.257449024	-0.316751826	
Q3U5Q7	0.438750954	0.802998004	Insignificant	0.357781926	-0.316531692	
Q9Z1G4	0.444291956	0.80302449	Insignificant	0.35233155	-0.316484109	
Q8BXQ2	0.922665455	0.803278718	Insignificant	0.034955739	-0.316027441	
Q9WV98	0.401972781	0.803358426	Insignificant	0.395803354	-0.315884292	
Q921N7	0.929245608	0.803389628	Insignificant	0.031869483	-0.315828259	
Q68FL4	0.700465919	0.80340734	Insignificant	0.15461299	-0.315796452	
Q9WUD1	0.411689575	0.803614787	Insignificant	0.38543013	-0.315423983	
P23198	0.654015697	0.803623683	Insignificant	0.184411828	-0.315408013	
Q9CSH3	0.83809877	0.803760481	Insignificant	0.076704797	-0.315162449	
P14685	0.421551725	0.803918844	Insignificant	0.375149129	-0.314878227	
Q9D0M1	0.483534172	0.804756877	Insignificant	0.315572828	-0.313375095	
Q08943	0.313456021	0.804776717	Insignificant	0.503823383	-0.313339527	
Q9WTX5	0.78217912	0.804816743	Insignificant	0.106693781	-0.313267776	
Q80VD1	0.615912346	0.804830285	Insignificant	0.21048109	-0.313243501	
Q62311	0.555718468	0.804847492	Insignificant	0.25514517	-0.313212658	
Q8BFR4	0.618510132	0.804944464	Insignificant	0.208653182	-0.313038844	
Q8K2P1	0.615662525	0.805199759	Insignificant	0.210657281	-0.312581354	
Q9CPY1	0.866059105	0.805769686	Insignificant	0.062452468	-0.311560564	
P04117	0.444412431	0.80594479	Insignificant	0.352213802	-0.311247083	
P40336	0.04264316	0.805944818	Down	1.370150623	-0.311247031	
P06684	0.353366448	0.805995285	Insignificant	0.451774689	-0.311156696	
P26883	0.452873585	0.806097846	Insignificant	0.34402301	-0.310973128	
P07759	0.438312463	0.806704604	Insignificant	0.35821618	-0.309887605	
Q8CCS6	0.797315849	0.806865488	Insignificant	0.098369603	-0.309599912	
O08914	0.523050856	0.806894972	Insignificant	0.281456083	-0.309547195	
P07901	0.166532307	0.806992214	Insignificant	0.778501501	-0.30937334	
A7MCT6	0.676483041	0.8070878	Insignificant	0.169743086	-0.309202467	
Q11011	0.335933289	0.807243653	Insignificant	0.473746958	-0.308923901	
Q9D2C7	0.690448559	0.80760445	Insignificant	0.160868672	-0.308279234	
P63328	0.546437522	0.807609586	Insignificant	0.262459487	-0.30827006	
Q3UJB0	0.535222869	0.807824466	Insignificant	0.271465338	-0.307886255	
Q8K273	0.909879193	0.807859284	Insignificant	0.041016266	-0.307824075	
Q9CQY6	0.91599362	0.807893432	Insignificant	0.038107551	-0.307763093	
Q5U4D9	0.884174691	0.807999778	Insignificant	0.053461921	-0.307573198	
O88487	0.706357529	0.808179196	Insignificant	0.150975422	-0.307252881	
Q64152	0.564486902	0.808568898	Insignificant	0.248346131	-0.306557384	
Q9CZU3	0.718502889	0.808633204	Insignificant	0.143571481	-0.306442651	
Q80YD1	0.435041777	0.808766028	Insignificant	0.361469036	-0.306205696	
Q920Q8	0.900212203	0.808861224	Insignificant	0.045655104	-0.306035894	
P56376	0.762245831	0.808972907	Insignificant	0.117904942	-0.305836708	
P46061	0.549729606	0.809019421	Insignificant	0.259850874	-0.305753759	
Q8VCR2	0.124368138	0.809043777	Insignificant	0.905290869	-0.305710327	
D3YXK2	0.704442087	0.809135181	Insignificant	0.152154705	-0.305547344	
