PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
P14094	3983.738281	4171.751953	3982.49707	3672.148193	2560.900879	3191.049805	3132.043457	2823.769775	2612.388916	3372.132568	3413.031738	3546.225098
P14115	9649.162109	9584.641602	11150.61621	9012.796875	9044.163086	9364	11246.82227	10983.77148	10267.92578	9695.631836	10463.69336	11886.40918
P14131	4300.34375	4694.32666	6540.919434	4905.964844	5912.053223	6114.166504	5434.889648	5909.775879	5585.438965	5725.011719	5386.26123	6422.925293
P14148	5278.39209	9115.368164	7922.123535	7342.247559	9350.205078	8682.086914	8153.958496	10417.49707	8391.352539	9014.303711	8725.547852	9048.160156
P14152	41198.42969	48057.32031	40998.17188	40607.66016	33864.03516	33822.23828	32667.16211	33883.42188	51910.125	43197.26172	41149.93359	43136.00391
P14206	7374.913574	8207.257813	8959.753906	9175.492188	9247.900391	9350.871094	9910.993164	8539.709961	8339.416016	9406.688477	10273.72852	11110.14453
P14211	18044.28125	16957.81445	20276.29102	18059.28125	21415.0332	20386.63867	24243.83008	21776.54492	17831.32031	17286.13281	17389.44727	21676.82227
P14246	2673.925049	2653.541016	2152.331055	2090.120117	1844.81543	1815.534668	2439.670654	3481.686768	1888.762329	2643.692871	2825.356689	3285.361572
P14576	512.8098755	571.3692017	684.9293823	637.9118042	675.3704834	709.4587402	702.6224365	646.0185547	713.9584351	648.543335	468.447937	700.8323364
P14602	1811.458374	1185.531738	1577.494141	1427.696289	3702.211182	2797.007568	5091.723633	3428.023926	666.8925171	812.8044434	1325.228149	837.4420776
P14685	493.7923279	621.5241699	613.7570801	637.774231	607.0101929	718.9968262	688.4499512	630.3484497	620.0042114	757.3048096	736.7369385	636.8683472
P14733	2251.196289	2335.301758	2590.575928	2033.06958	1729.685059	2256.887207	2177.948486	2762.00415	2058.458984	2782.635742	2196.264893	2437.125488
P14824	7154.023438	7823.358887	8073.131348	6784.032715	6480.313477	5986.480469	7038.705078	6100.533203	5980.884277	6027.98584	5757.962891	5919.487305
P14847	42.41651535	94.19582367	170.7351532	62.96599197	146.2254944	54.58306122	67.06863403	179.832489	140.1542969	67.50674438	122.8267746	0
P14869	6145.36084	5412.102539	7567.538574	5687.875	5429.950684	6787.355957	6096.976074	6974.623047	6406.412598	6080.024414	6387.40918	6733.014648
P14901	81.74324799	72.91641998	64.60467529	114.9176483	93.39820099	87.72828674	212.6080017	106.6863174	104.6639252	82.42784119	84.43003845	89.20570374
P15105	13400.72754	13974.59375	10306.11816	11741.97168	12575.42871	10512.2002	11070.45215	10496.84277	14292.67676	12211.14941	10973.75781	12974.95117
P15116	1356.477905	1361.400513	1166.338135	1461.850098	1071.958496	1332.292358	1276.911011	1184.721069	1685.054321	1390.131836	1592.010742	1435.85498
P15208	191.0355377	154.3613586	196.3091431	204.504425	145.0333099	164.6330109	164.3796387	283.8999634	203.3804932	212.134964	240.1197815	211.147583
P15327	326.561676	417.5111389	376.5770874	412.5455627	262.7801208	309.9255981	311.8916016	184.8939209	354.5434265	535.1923828	244.077652	249.6379089
P15379	0	62.4886055	0	0	152.3416595	253.6194916	153.8905029	53.6175766	141.4204102	0	121.2375259	28.37324715
P15508	194.9036102	227.5979767	239.4284363	212.1658936	177.4438782	267.6365662	180.2782593	191.2624359	209.8178406	405.3088074	185.4126282	267.6259155
P15532	4288.890625	5179.766113	5014.990723	4784.293457	5000.755371	3726.314209	4674.120605	3789.744141	4067.00415	4431.512207	3527.300293	4463.701172
P15535	223.105423	115.9051056	173.9368744	105.2621002	72.72203827	90.68051147	115.7018509	72.18002319	122.0598373	105.1187897	79.34461975	160.5142059
P15626	83627.40625	75023.39844	75266.96094	82877.14844	92344.64844	64574.62109	96260.04688	52835.03906	59294.14844	59467.91797	58764.20703	55487.03125
P15864	933.7598877	1072.65979	554.3084106	900.0119629	234.3659668	598.7589111	889.0056152	1048.029297	859.7338257	698.1629028	403.8957825	1042.612549
P15947	0	0	360.2232056	0	0	0	0	0	0	0	0	0
P16015	48541.73828	50623.29688	48185.35547	53187.94922	58068.13281	84287.35156	65076.11328	88234.05469	108609.8984	85406.29688	92070.67188	102323.6094
P16045	885.3674927	767.0357666	1296.697754	1242.961914	1462.360474	1910.45874	1381.031006	1359.925781	1494.151733	1244.856689	827.2169189	926.5828857
P16056	35.97477722	81.85017395	53.97810745	65.18281555	37.19960403	41.09068298	29.52923965	86.76448059	64.34989929	65.87507629	40.61607361	77.42837524
P16110	98.61566162	75.53760529	112.4801407	72.68418884	88.7878952	51.16847992	124.2637558	178.4589081	152.3786774	99.78727722	71.74468994	69.01481628
P16125	136.9871368	211.6101074	248.5431366	162.1058655	78.55647278	52.48709106	123.2634811	219.5523682	67.27490997	174.1668243	77.22274017	85.56513214
P16254	334.1253662	422.8982239	557.4172363	440.440918	401.2840271	447.509552	375.7593994	449.4005127	396.8592834	367.2259521	271.6612854	463.4542847
P16294	92.96605682	57.89520264	74.29974365	59.24331665	131.3990936	110.2958374	97.27126312	68.69017792	139.169754	153.4004974	90.46537781	111.9938431
P16301	334.8782349	354.1423035	344.0847168	341.2923889	272.3562317	365.2249146	360.017395	365.4078674	544.8010254	372.611908	476.5432129	313.3952637
P16330	0	0	49.80134964	84.12924957	93.71958923	64.45113373	41.28974533	34.89318085	53.15391922	0	126.6342621	48.31917572
P16331	15469.74512	17955.55859	14867.33594	16306.79395	14617.6377	13751.5293	12272.91406	11350.04688	15190.92383	15426.11816	16506.87695	15289.75391
